NOR;CPP;DEF;DUD;PER;MAXIMO_DIAS_ATRASO_DDIRECTASBS.1;MAXIMO_DIAS_ATRASO_DDIRECTASBS.2;MAXIMO_DIAS_ATRASO_DDIRECTASBS.3;Documentos Impagos;Dias de atraso de PAGO;al_menos_uno_de_los_solicitantes_vive_en_la_garantia_;motivo_principal_del_prestamo;sector_detalle;sector;Distrito de Garantia
0;0;0;0;0;0;0;0;0;;VERDADERO;Expansión del Negocio;otros servicios: salud y estetica;no dependiente;catacaos
0;0;0;0;100;0;0;0;678.85;0;VERDADERO;Capital de trabajo;otros servicios: servicio tecnico industrial;no dependiente;independencia
0;100;0;0;0;15;16;15;0;1;FALSO;Expansión del Negocio;otros servicios: salon de belleza;no dependiente;castilla
0;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: salon de belleza;no dependiente;santiago de surco
17.01;0;82.99;0;0;58;30;27;0;;VERDADERO;Expansión del Negocio;manufactura: madera y muebles;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;comerciante: venta de alimentos mayorista;no dependiente;san miguel
0;0;0;0;100;0;0;0;17905.71;;VERDADERO;Compra de deuda;dependiente;dependiente;san martin de porres
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;manufactura: madera y muebles;no dependiente;la molina
52.44;0;0;0;47.56;0;0;0;50;;VERDADERO;Compra de deuda;otros servicios: entretenimiento;no dependiente;paucarpata
100;0;0;0;0;0;0;0;172.14;;FALSO;Compra de deuda;dependiente;dependiente;villa el salvador
87.74;12.26;0;0;0;16;0;0;2708.63;;VERDADERO;Compra de deuda;comerciante: venta de alimentos minorista;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: servicio de transporte de carga;no dependiente;pueblo libre
100;0;0;0;0;0;53;22;1272.6;;VERDADERO;Lanzar nuevo negocio;;dependiente;surquillo
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: servicios de educacion y capacitacion;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;cayma
100;0;0;0;0;0;0;0;0;;VERDADERO;Expansión del Negocio;agricultura (produccion agricola);no dependiente;miraflores
100;0;0;0;0;5;0;60;0;;VERDADERO;Compra de deuda;comerciante: venta de bebidas alcoholicas;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;construccion: construccion de vivienda;no dependiente;ate
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: salud y estetica;no dependiente;san miguel
76.26;23.74;0;0;0;26;0;0;621.13;;VERDADERO;Capital de trabajo;otros servicios: publicidad impresa;no dependiente;los olivos
0;0;0;0;0;0;0;0;12588.09;;;Capital de trabajo;comerciante: venta de articulos de belleza;no dependiente;cercado de lima
100;0;0;0;0;0;0;0;495;;VERDADERO;Compra de deuda;;dependiente;san juan de miraflores
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;manufactura: textil cuero y calzado;no dependiente;ate
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;construccion: construccion de vivienda;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;18;;VERDADERO;Construir o remodelar;agricultura (produccion agricola);no dependiente;san juan de lurigancho
0;0;0;2.55;97.45;0;0;0;0;;VERDADERO;Construir o remodelar;comerciante: bodega;no dependiente;san martin de porres
0;0;0;31.56;68.44;35;5;0;78.07;;VERDADERO;Lanzar nuevo negocio;otros servicios: servicio tecnico domestico;no dependiente;villa el salvador
0;0;0;74.84;25.16;0;137;106;235.91;2;VERDADERO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;la molina
0;0;0;59.5;40.5;452;422;391;2363.71;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;ate
0;0;0;37.52;62.48;0;0;0;139.41;;VERDADERO;Capital de trabajo;;dependiente;comas
100;0;0;0;0;0;0;0;0;;FALSO;Compra de deuda;otros servicios: servicios de educacion y capacitacion;no dependiente;san martin de porres
0;0;100;0;0;0;0;0;66.6;;VERDADERO;Lanzar nuevo negocio;otros servicios: servicios de educacion y capacitacion;no dependiente;san martin de porres
0;0;0;100;0;81;53;22;0;;VERDADERO;Capital de trabajo;construccion: construccion de local(es) comercial(es);no dependiente;villa el salvador
100;0;0;0;0;0;0;0;414.75;;FALSO;Capital de trabajo;otros servicios: arrendamiento;;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;los olivos
0;0;0;0;100;0;0;0;1915.83;;VERDADERO;Construir o remodelar;;dependiente;san martin de porres
0;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;;dependiente;callao
0;0;0;100;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: restaurante/fuente de soda;no dependiente;magdalena del mar
100;0;0;0;0;0;0;0;0;;VERDADERO;Lanzar nuevo negocio;;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;comerciante: venta de inmueble;no dependiente;san martin de porres
100;0;0;0;0;0;0;0;0;;;Capital de trabajo;comerciante: venta de vehiculos;no dependiente;san juan de lurigancho
93.2;6.8;0;0;0;15;7;0;0;14;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;comerciante: bodega;no dependiente;yanahuara
3.87;88.12;0;0;8.02;128;98;67;0;;FALSO;Compra de deuda;otros servicios: restaurante/fuente de soda;no dependiente;cercado de lima
100;0;0;0;0;0;0;0;0;53;VERDADERO;Compra de deuda;otros servicios: consultoria empresarial;no dependiente;san miguel
100;0;0;0;0;0;0;0;369.91;;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;pueblo libre
0;0;0;9.16;90.84;375;345;314;0;;VERDADERO;Expansión del Negocio;otros servicios: restaurante/fuente de soda;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: otros;no dependiente;cieneguilla
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;comerciante: venta de ropa cuero y calzado;no dependiente;miraflores
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;manufactura: textil cuero y calzado;no dependiente;callao
70.8;29.2;0;0;0;12;0;0;0;;VERDADERO;Capital de trabajo;construccion: otros;no dependiente;san bartolo
0;0;0;0;0;0;0;0;0;;FALSO;Lanzar nuevo negocio;otros servicios: arrendamiento;;san isidro
100;0;0;0;0;0;0;0;0;;FALSO;Compra de deuda;otros servicios: arrendamiento;;santiago de surco
0;0;0;0;0;0;0;0;0;3;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;miraflores
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;;dependiente;villa el salvador
19.98;80.02;0;0;0;14;0;8;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;704.79;1;VERDADERO;Capital de trabajo;pesca;no dependiente;callao
100;0;0;0;0;0;0;0;0;1;VERDADERO;Compra de deuda;;dependiente;santiago de surco
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: venta de articulos de ferreteria;no dependiente;villa el salvador
70.8;29.2;0;0;0;12;0;0;0;;VERDADERO;Capital de trabajo;construccion: otros;no dependiente;san bartolo
0;0;0;0;0;0;0;0;111.17;;FALSO;Capital de trabajo;comerciante: venta de articulos de ferreteria;no dependiente;carabayllo
91.59;8.41;0;0;0;16;0;0;120.68;;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;comas
100;0;0;0;0;0;0;1;0;;VERDADERO;Capital de trabajo;;no dependiente;surquillo
100;0;0;0;0;0;0;0;21;0;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;cercado de lima
100;0;0;0;0;0;25;0;0;0;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;independencia
100;0;0;0;0;6;0;0;46.02;;VERDADERO;Capital de trabajo;comerciante: venta de vehiculos;no dependiente;villa el salvador
0;58.83;0;0;41.17;0;126;172;0;;FALSO;Capital de trabajo;construccion: construccion de vivienda;no dependiente;trujillo
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: servicio de alojamiento hostales;no dependiente;chorrillos
100;0;0;0;0;0;0;0;0;;FALSO;Compra de deuda;otros servicios: otros;no dependiente;surquillo
56.6;0;25.5;0;17.9;56;137;109;76.4;;FALSO;Compra de deuda;comerciante: venta de accesorios y equipos tecnologicos;no dependiente;cercado de lima
0;0;0;0;100;0;0;0;261.86;;VERDADERO;Construir o remodelar;;no dependiente;san martin de porres
100;0;0;0;0;0;0;0;0;;;Capital de trabajo;otros servicios: consultoria empresarial;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;74.3;;FALSO;Construir o remodelar;;no dependiente;san martin de porres
25.57;3.51;70.92;0;0;52;21;2;0;;VERDADERO;Capital de trabajo;comerciante: venta de ropa cuero y calzado;no dependiente;callao
100;0;0;0;0;0;0;0;0;15;VERDADERO;Compra de deuda;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;san juan de lurigancho
11.23;88.77;0;0;0;17;0;0;402.8;;FALSO;Compra de deuda;otros servicios: arrendamiento;;miraflores
81.66;0;0;18.34;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: publicidad impresa;no dependiente;carabayllo
100;0;0;0;0;0;0;0;0;1;VERDADERO;Compra de deuda;;dependiente;san juan de lurigancho
100;0;0;0;0;0;0;1;0;;FALSO;Compra de deuda;comerciante: venta de alimentos minorista;no dependiente;miraflores
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;manufactura: petroleo caucho productos quimicos y plasticos;no dependiente;cieneguilla
0;0;49.31;50.69;0;117;86;87;0;;VERDADERO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;pueblo libre
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;comas
93.5;0;0;0;6.5;0;136;106;0;;VERDADERO;Compra de deuda;;dependiente;ate
88.79;0;0;0;11.21;0;191;161;9.88;;VERDADERO;Construir o remodelar;;dependiente;comas
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;manufactura: textil cuero y calzado;no dependiente;comas
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: arrendamiento;servicios;rimac
0;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;comerciante: otros;no dependiente;la molina
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: otros;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;0;0;VERDADERO;Lanzar nuevo negocio;;dependiente;san martin de porres
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;chorrillos
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;;no dependiente;callao
100;0;0;0;0;0;0;0;0;1;VERDADERO;Construir o remodelar;;dependiente;san juan de lurigancho
100;0;0;0;0;0;0;0;437.56;;VERDADERO;Otros motivos personales;otros servicios: concesionario de alimentos;no dependiente;chorrillos
0;100;0;0;0;28;0;0;158.96;3;FALSO;Construir o remodelar;otros servicios: arrendamiento;;cieneguilla
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;chorrillos
100;0;0;0;0;0;0;0;399.86;;VERDADERO;Capital de trabajo;manufactura: textil cuero y calzado;no dependiente;san martin de porres
42.92;39.91;17.17;0;0;46;15;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;lurin
0;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;los olivos
2.14;97.86;0;0;0;11;0;0;0;;FALSO;Capital de trabajo;comerciante: otros;no dependiente;san isidro
85.7;14.3;0;0;0;26;0;0;0;11;VERDADERO;Otros motivos personales;;dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;1;VERDADERO;Compra de deuda;;dependiente;san martin de porres
31.13;68.87;0;0;0;6;4;30;495.89;;VERDADERO;Compra de deuda;;dependiente;san martin de porres
100;0;0;0;0;0;0;0;731.35;;VERDADERO;Capital de trabajo;otros servicios: consultoria empresarial;no dependiente;la molina
6.39;93.61;0;0;0;26;0;0;2652.28;;FALSO;Capital de trabajo;otros servicios: salon de belleza;no dependiente;miraflores
100;0;0;0;0;0;0;0;39.59;;VERDADERO;Compra de deuda;comerciante: otros;no dependiente;callao
22.42;77.58;0;0;0;27;26;0;0;;VERDADERO;Compra de deuda;;dependiente;san martin de porres
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;construccion: otros;no dependiente;san miguel
100;0;0;0;0;0;29;26;0;;FALSO;Lanzar nuevo negocio;otros servicios: arrendamiento;;chincha alta
100;0;0;0;0;1;0;0;0;;VERDADERO;Compra de deuda;otros servicios: consultoria empresarial;no dependiente;la victoria
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;san borja
100;0;0;0;0;0;0;1;0;4;VERDADERO;Construir o remodelar;;dependiente;miraflores
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: servicios de educacion y capacitacion;no dependiente;san miguel
100;0;0;0;0;3;0;0;0;27;VERDADERO;Compra de deuda;;dependiente;miraflores
100;0;0;0;0;0;0;0;0;27;VERDADERO;Compra de deuda;;dependiente;miraflores
6.35;0;33.38;60.27;0;86;56;25;0;;VERDADERO;Compra de deuda;;no dependiente;pueblo libre
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;608.1;;VERDADERO;Capital de trabajo;comerciante: venta de joyeria;no dependiente;los olivos
98.45;1.55;0;0;0;25;0;0;555.6;;VERDADERO;Compra de deuda;;dependiente;carabayllo
100;0;0;0;0;0;1;0;0;;VERDADERO;Construir o remodelar;otros servicios: call center;no dependiente;san borja
45.91;36.39;0;17.7;0;18;0;16;0;19;FALSO;Compra de deuda;comerciante: venta de ropa cuero y calzado;no dependiente;jesus maria
100;0;0;0;0;0;0;0;0;32;VERDADERO;Compra de deuda;comerciante: venta de articulos de libreria;no dependiente;villa el salvador
7.34;92.66;0;0;0;15;0;0;0;;VERDADERO;Compra de deuda;;dependiente;ate
0;0;0;0;100;0;0;0;0;;VERDADERO;Expansión del Negocio;otros servicios: salud y estetica;no dependiente;san juan de miraflores
100;0;0;0;0;0;0;0;545.14;29;VERDADERO;Capital de trabajo;otros servicios: servicio tecnico domestico;no dependiente;breña
0;0;0;0;0;0;0;0;4532.23;;VERDADERO;Lanzar nuevo negocio;;dependiente;villa maria del triunfo
100;0;0;0;0;0;0;0;9043.6;4;FALSO;Compra de deuda;otros servicios: servicio de alojamiento hoteles;no dependiente;la victoria
0;0;0;0;0;0;0;0;0;;VERDADERO;Otros motivos personales;comerciante: venta de articulos de belleza;no dependiente;san borja
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;callao
16.46;83.54;0;0;0;10;11;9;0;2;VERDADERO;Capital de trabajo;manufactura: textil cuero y calzado;no dependiente;la victoria
100;0;0;0;0;0;0;0;0;;VERDADERO;Otros motivos personales;;dependiente;miraflores
100;0;0;0;0;0;0;0;0;0;FALSO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;santiago de surco
0;0;0;0;0;0;0;0;1825.68;;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;san borja
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;trujillo
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;trujillo
49.98;50.02;0;0;0;11;0;0;24.91;;VERDADERO;Compra de deuda;comerciante: venta de alimentos minorista;no dependiente;trujillo
100;0;0;0;0;0;0;0;42.52;;VERDADERO;Construir o remodelar;;dependiente;comas
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;otros servicios: otros;no dependiente;la molina
0;0;0;0;100;0;0;0;19140.64;;VERDADERO;Compra de deuda;otros servicios: servicios de educacion y capacitacion;no dependiente;ate
100;0;0;0;0;0;0;0;0;;VERDADERO;Lanzar nuevo negocio;;dependiente;cercado de lima
0;0;0;0;0;0;0;0;627.89;6;VERDADERO;Expansión del Negocio;otros servicios: restaurante/fuente de soda;no dependiente;san martin de porres
0;0;0;0;100;758;728;697;1321.32;;VERDADERO;Compra de deuda;otros servicios: otros;no dependiente;los olivos
0;0;0;0;100;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: otros;no dependiente;san luis
96.22;3.78;0;0;0;20;1;0;132.66;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;villa el salvador
73.88;26.12;0;0;0;15;0;0;15.01;0;VERDADERO;Compra de deuda;otros servicios: arrendamiento;;santiago de surco
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;comerciante: otros;no dependiente;comas
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: otros;no dependiente;callao
0;0;0;0;100;0;0;0;14104.07;108;VERDADERO;Construir o remodelar;otros servicios: arrendamiento;;callao
100;0;0;0;0;0;6;0;0;3;VERDADERO;Compra de deuda;otros servicios: servicio de transporte de carga;no dependiente;independencia
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;2;VERDADERO;Capital de trabajo;otros servicios: servicio de transporte de carga;no dependiente;cercado de lima
100;0;0;0;0;0;0;0;10.82;31;VERDADERO;Compra de deuda;;dependiente;santiago de surco
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: consultoria empresarial;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;comerciante: venta de accesorios y equipos tecnologicos;no dependiente;bellavista
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;san juan de lurigancho
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;comerciante: otros;no dependiente;miraflores
89.74;10.26;0;0;0;25;0;0;0;;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;san juan de lurigancho
6.61;93.39;0;0;0;10;0;0;0;;VERDADERO;Compra de deuda;otros servicios: consultoria empresarial;no dependiente;bellavista
0;0;0;0;0;0;0;0;1072.12;20;VERDADERO;Lanzar nuevo negocio;;dependiente;la molina
24.62;75.38;0;0;0;25;6;4;0;;VERDADERO;Compra de deuda;otros servicios: salud y estetica;no dependiente;la molina
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;los olivos
15.28;53.95;0;30.76;0;74;51;20;287.7;;VERDADERO;Compra de deuda;comerciante: venta de ropa cuero y calzado;no dependiente;mariano melgar
98.71;0;0;0;1.29;0;6;0;70.73;;FALSO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;ate
100;0;0;0;0;0;0;0;645.51;;VERDADERO;Otros motivos personales;;dependiente;chorrillos
99.66;0;0;0.34;0;36;6;3;0;3;VERDADERO;Expansión del Negocio;comerciante: otros;no dependiente;carabayllo
28.29;0;0;0;71.71;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;pachacamac
30.86;69.14;0;0;0;14;0;0;0;0;VERDADERO;Construir o remodelar;otros servicios: consultoria empresarial;no dependiente;comas
0;0;0;1.11;98.89;0;0;0;0;0;FALSO;Compra de deuda;comerciante: venta de abarrotes;no dependiente;santiago de surco
22.42;37.96;0;39.62;0;84;53;23;0;;VERDADERO;Compra de deuda;otros servicios: arrendamiento;;villa el salvador
100;0;0;0;0;0;0;0;89.72;;VERDADERO;Construir o remodelar;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;los olivos
100;0;0;0;0;0;0;0;794.8;8;VERDADERO;Construir o remodelar;;dependiente;cercado de lima
31.91;0;68.09;0;0;56;25;0;0;;FALSO;Capital de trabajo;otros servicios: otros;no dependiente;san miguel
39.25;0;60.75;0;0;60;29;2;0;;VERDADERO;Compra de deuda;otros servicios: otros;no dependiente;san isidro
31.52;0;0;0;68.48;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: venta de articulos de belleza;no dependiente;trujillo
0;0;0;0;100;0;0;0;6731.31;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;trujillo
100;0;0;0;0;0;0;0;54.1;;FALSO;Capital de trabajo;otros servicios: otros;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;1603.62;;VERDADERO;Lanzar nuevo negocio;;dependiente;callao
100;0;0;0;0;0;0;0;0;5;VERDADERO;Compra de deuda;comerciante: bodega;no dependiente;san juan de lurigancho
100;0;0;0;0;0;3;3;0;;VERDADERO;Compra de deuda;otros servicios: servicios de educacion y capacitacion;no dependiente;pueblo libre
100;0;0;0;0;0;0;0;0;4;FALSO;Compra de deuda;;dependiente;san miguel
0;0;0;100;0;107;76;46;0;;VERDADERO;Compra de deuda;comerciante: otros;no dependiente;san martin de porres
0;100;0;0;0;29;28;29;1346.14;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;carabayllo
0;0;0;0;100;0;0;0;1357.69;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;lurin
0;0;0;0;0;0;0;0;256.4;;VERDADERO;Lanzar nuevo negocio;;dependiente;ventanilla
72.43;0;0;0;27.57;0;7;0;701.65;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;villa el salvador
0;0;15.76;84.24;0;59;76;46;0;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte de carga;no dependiente;puente piedra
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;;no dependiente;san juan de lurigancho
100;0;0;0;0;0;0;0;0;3;FALSO;Construir o remodelar;otros servicios: otros;no dependiente;la molina
100;0;0;0;0;3;2;0;12.61;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;los olivos
13.93;83.92;2.15;0;0;46;46;16;28.42;;VERDADERO;Construir o remodelar;otros servicios: arrendamiento;;villa el salvador
0;0;0;0;0;0;0;0;17556.25;;VERDADERO;Compra de deuda;;dependiente;miraflores
0;0;0;0;0;0;0;0;54.13;;VERDADERO;Capital de trabajo;otros servicios: taller automotriz;no dependiente;pueblo libre
0;0;0;0;0;0;0;0;354.57;;VERDADERO;Construir o remodelar;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;la esperanza
100;0;0;0;0;0;0;12;424.65;8;VERDADERO;Capital de trabajo;comerciante: venta de articulos de belleza;no dependiente;ate
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: otros;no dependiente;cercado de lima
0;0;0;3.15;96.85;0;0;0;675.48;1;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;san martin de porres
100;0;0;0;0;0;0;0;87.97;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;san juan de miraflores
0;0;0;0;100;187;156;126;2121.38;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;trujillo
0;0;0;10.06;89.94;0;0;0;498.97;4;VERDADERO;Lanzar nuevo negocio;otros servicios: arrendamiento;;san miguel
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;la perla
100;0;0;0;0;0;0;0;0;33;VERDADERO;Construir o remodelar;;dependiente;ate
100;0;0;0;0;0;0;0;1120.01;;VERDADERO;Construir o remodelar;;dependiente;san juan de lurigancho
0;0;0;0;100;0;0;0;431.4;31;FALSO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;san juan de lurigancho
